Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Strength Training,2020-10-12 08:39:21,false,"Strength","0.00","806","01:36:12","125","151","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","349","32","1:36:12","0:00","80.6","0:00","No","01:36:11.74","1","0.0","16","16","16"
Strength Training,2020-10-11 10:52:15,false,"Strength","0.00","783","01:24:39","128","154","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","519","46","1:24:39","0:00","82.4","0:00","No","01:24:38.56","1","0.0","22","22","22"
Strength Training,2020-10-10 09:49:04,false,"Strength","0.00","649","00:56:35","138","163","2.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","134","10","56:35","0:00","82.4","0:00","No","56:34.73","1","0.0","19","19","19"
Strength Training,2020-10-09 11:46:12,false,"Strength","0.00","672","01:17:19","124","154","2.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","217","28","1:17:19","0:00","86.0","0:00","No","01:17:18.76","1","0.0","15","15","15"
Strength Training,2020-10-08 08:54:03,false,"Strength","0.00","605","01:14:39","118","156","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","431","29","1:14:39","0:00","82.4","0:00","No","01:14:38.97","1","0.0","14","14","14"
Strength Training,2020-10-07 18:52:58,false,"Strength","0.00","277","00:35:54","113","130","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","202","14","35:54","0:00","80.6","0:00","No","35:54.35","1","0.0","13","13","13"
Strength Training,2020-10-07 09:52:28,false,"Strength","0.00","497","00:58:18","120","149","1.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","257","21","58:18","0:00","82.4","0:00","No","58:17.58","1","0.0","18","18","18"
Strength Training,2020-10-06 08:44:01,false,"Strength","0.00","457","01:02:30","108","158","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","226","26","1:02:30","0:00","82.4","0:00","No","01:02:30.08","1","0.0","20","20","20"
Strength Training,2020-10-05 08:38:03,false,"Strength","0.00","650","01:36:07","112","147","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","329","30","1:36:07","0:00","82.4","0:00","No","01:36:06.88","1","0.0","16","16","16"
Cardio,2020-10-04 16:24:21,false,"Cardio","0.00","340","00:24:50","140","162","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","24:50","0:00","84.2","0:00","No","10:08.80","2","0.0","15","15","15"
Cardio,2020-10-02 13:12:54,false,"Cardio","0.00","460","00:31:45","150","176","3.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","31:45","0:00","82.4","0:00","No","31:45.30","1","0.0","--","--","--"
Strength Training,2020-10-02 11:30:39,false,"Strength","0.00","742","01:41:58","118","139","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","403","46","1:41:58","0:00","80.6","0:00","No","01:41:58.13","1","0.0","15","15","15"
Cardio,2020-09-30 12:12:29,false,"Cardio","0.00","481","00:30:49","156","177","3.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","30:49","0:00","84.2","0:00","No","30:49.35","1","0.0","--","--","--"
Strength Training,2020-09-30 11:36:07,false,"Strength","0.00","144","00:22:09","104","128","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","97","14","22:09","0:00","86.0","0:00","No","22:08.96","1","0.0","19","19","19"
Cardio,2020-09-28 19:56:37,false,"Cardio","0.00","582","00:48:13","147","179","3.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","48:13","0:00","86.0","0:00","No","48:13.27","1","0.0","13","13","13"
Walking,2020-09-28 09:52:51,false,"San Jose Walking","0.48","61","00:12:03","83","91","0.1","69","147","25:18","15:32","10","13","0.92","0.0","0.0","0.0","0.0","0.0","--","--","12:03","0:00","86.0","0:00","No","12:03.01","1","0.0","16","16","16"
Strength Training,2020-09-28 09:17:01,false,"Strength","0.00","150","00:27:39","99","125","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","106","16","27:39","0:00","84.2","0:00","No","27:39.09","1","0.0","12","12","12"
Strength Training,2020-09-27 15:00:07,false,"Strength","0.00","85","00:16:48","94","118","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","67","10","16:48","0:00","82.4","0:00","No","16:48.09","1","0.0","14","14","14"
Cardio,2020-09-27 09:20:57,false,"Cardio","0.00","416","00:36:12","129","163","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","36:12","0:00","84.2","0:00","No","36:12.27","1","0.0","15","15","15"
Strength Training,2020-09-26 12:17:50,false,"Strength","0.00","95","00:11:15","113","124","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","25","3","11:15","0:00","86.0","0:00","No","11:14.82","1","0.0","22","22","22"
Running,2020-09-26 11:50:58,false,"San Jose Running","2.59","318","00:22:19","145","169","2.7","146","209","8:36","4:59","59","62","1.28","0.0","0.0","0.0","0.0","0.0","--","--","22:19","0:00","82.4","0:00","No","06:42.58","3","0.0","13","13","13"
Walking,2020-09-26 11:17:19,false,"San Jose Walking","0.66","80","00:13:50","89","109","0.2","89","119","21:06","16:14","16","26","0.86","0.0","0.0","0.0","0.0","0.0","--","--","13:50","0:00","82.4","0:00","No","13:49.94","1","0.0","15","15","15"
Strength Training,2020-09-25 08:37:40,false,"Strength","0.00","841","01:47:21","119","151","2.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","371","32","1:47:21","0:00","80.6","0:00","No","01:47:20.83","1","0.0","17","17","17"
