Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-10-15 07:17:59,false,"San Jose RC8","8.02","650","01:09:40","132","147","2.6","184","195","8:41","7:51","167","184","1.01","0.0","0.0","--","--","0.0","0.0","0.0","1:09:40","0:00","62.6","0:00","No","00:08.50","9","0.0"
Running,2020-10-14 07:08:09,false,"San Jose ML11 ","11.01","868","01:33:35","136","155","2.7","184","199","8:30","7:47","167","167","1.03","0.0","0.0","--","--","0.0","0.0","0.0","1:33:35","0:00","64.4","0:00","No","00:04.13","12","0.0"
Running,2020-10-13 07:16:19,false,"San Jose RC10k ","6.20","535","00:51:31","136","150","2.8","186","199","8:18","7:20","102","121","1.04","0.0","0.0","--","--","0.0","0.0","0.0","51:31","0:00","59.0","0:00","No","01:41.66","7","0.0"
Running,2020-10-12 07:20:11,false,"San Jose RC5k ","3.11","275","00:28:11","131","152","2.2","185","199","9:04","8:13","75","69","0.96","0.0","0.0","--","--","0.0","0.0","0.0","28:11","0:00","62.6","0:00","No","00:53.90","4","0.0"
Running,2020-10-11 06:16:41,false,"Virtual Chicago 26.2","26.25","2,180","03:27:00","139","169","--","186","224","7:53","6:37","637","670","0.00","0.0","0.0","--","--","0.0","0.0","0.0","3:27:00","0:00","0.0","0:00","No","02:30.00","27","0.0"
Running,2020-10-10 08:41:46,false,"San Jose EZ5k","3.11","288","00:25:13","138","154","2.8","188","201","8:07","6:54","46","56","1.05","0.0","0.0","--","--","0.0","0.0","0.0","25:13","0:00","71.6","0:00","No","00:53.53","4","0.0"
Running,2020-10-09 07:33:34,false,"San Jose RC5k ","3.10","271","00:29:40","127","150","2.1","182","191","9:33","8:19","72","79","0.92","0.0","0.0","--","--","0.0","0.0","0.0","29:40","0:00","69.8","0:00","No","00:58.27","4","0.0"
Running,2020-10-08 07:18:23,false,"Virtual Chicago 8k","5.00","445","00:33:29","159","172","3.7","194","213","6:41","6:14","33","39","1.24","0.0","0.0","--","--","0.0","0.0","0.0","33:29","0:00","64.4","0:00","No","00:02.23","6","0.0"
Running,2020-10-08 07:09:26,false,"Virtual Chicago 1mi","1.01","81","00:07:15.8","137","155","1.7","199","209","7:14","6:48","10","13","1.12","0.0","0.0","--","--","0.0","0.0","0.0","7:15.8","0:00","73.4","0:00","No","00:02.58","2","0.0"
Running,2020-10-07 06:40:09,false,"Virtual Chicago 13.1","13.15","1,032","01:44:01","139","156","3.0","188","201","7:55","7:01","167","184","1.08","0.0","0.0","--","--","0.0","0.0","0.0","1:44:01","0:00","62.6","0:00","No","01:11.03","14","0.0"
Running,2020-10-06 07:20:30,false,"San Jose RC10k ","6.20","543","00:51:10","136","156","3.0","189","199","8:15","7:19","144","144","1.03","0.0","0.0","--","--","0.0","0.0","0.0","51:10","0:00","59.0","0:00","No","01:34.81","7","0.0"
Running,2020-10-05 07:27:03,false,"San Jose RC5k ","3.10","274","00:29:03","128","150","2.1","185","199","9:22","7:45","46","59","0.93","0.0","0.0","--","--","0.0","0.0","0.0","29:03","0:00","66.2","0:00","No","00:56.84","4","0.0"
Running,2020-10-04 06:41:28,false,"Virtual 2020 London Marathon ","26.25","1,738","03:31:09","140","155","3.3","185","206","8:03","6:59","197","233","1.08","0.0","0.0","--","--","0.0","0.0","0.0","3:31:09","0:00","59.0","0:00","No","02:19.07","27","0.0"
Running,2020-10-03 07:39:26,false,"San Jose Shakeout RC5k ","3.11","271","00:27:01","135","155","2.3","187","199","8:42","7:26","66","75","0.99","0.0","0.0","--","--","0.0","0.0","0.0","27:01","0:00","66.2","0:00","No","00:54.98","4","0.0"
Running,2020-10-02 07:48:45,false,"San Jose RC5k ","3.11","286","00:28:09","133","155","2.4","185","195","9:04","8:10","75","82","0.96","0.0","0.0","--","--","0.0","0.0","0.0","28:09","0:00","68.0","0:00","No","00:54.92","4","0.0"
Running,2020-10-01 07:16:47,false,"San Jose RC5k ","3.10","285","00:28:44","131","151","2.2","183","193","9:16","8:24","43","52","0.95","0.0","0.0","--","--","0.0","0.0","0.0","28:44","0:00","68.0","0:00","No","00:56.58","4","0.0"
Running,2020-09-30 07:11:08,false,"San Jose RC8","8.00","714","01:07:23","139","162","3.0","186","201","8:25","7:54","144","138","1.03","0.0","0.0","--","--","0.0","0.0","0.0","1:07:23","0:00","66.2","0:00","No","00:01.67","9","0.0"
Running,2020-09-29 06:56:21,false,"Leland EZ10k","6.20","512","00:48:42","139","148","3.0","189","202","7:51","7:32","23","52","1.08","0.0","0.0","--","--","0.0","0.0","0.0","48:42","0:00","62.6","0:00","No","01:40.47","7","0.0"
Running,2020-09-28 06:53:27,false,"San Jose RC8","8.00","643","01:12:05","130","150","2.3","185","203","9:00","8:02","404","410","0.96","0.0","0.0","--","--","0.0","0.0","0.0","1:12:05","0:00","66.2","0:00","No","00:02.09","9","0.0"
Running,2020-09-27 07:16:50,false,"San Jose RC5k ","3.10","294","00:28:08","133","152","2.3","185","193","9:04","8:33","39","49","0.96","0.0","0.0","--","--","0.0","0.0","0.0","28:08","0:00","68.0","0:00","No","00:56.51","4","0.0"
